County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),State FIPS,County FIPS,Year
"San Bernardino County, California",211500,937,146716.0,2065377,790016,389310.0,942772,51247,06,071,2011
"San Diego County, California",396500,1170,430670.0,3140069,1376701,462269.0,1546188,59477,06,073,2011
"San Francisco County, California",719800,1361,202337.0,812826,450686,110210.0,486947,69894,06,075,2011
"San Joaquin County, California",196800,834,52279.0,696214,264310,123258.0,322517,50853,06,077,2011
"San Luis Obispo County, California",402200,1125,33827.0,271969,118538,39417.0,131001,54195,06,079,2011
"San Mateo County, California",706300,1467,134720.0,727209,364747,55703.0,400457,81657,06,081,2011
"Santa Barbara County, California",447700,1181,50265.0,426878,199744,62316.0,222089,60505,06,083,2011
"Santa Clara County, California",627400,1389,312538.0,1809378,858963,189516.0,954330,84895,06,085,2011
"Santa Cruz County, California",532200,1264,39429.0,264298,128599,37782.0,140376,62513,06,087,2011
"Shasta County, California",203700,728,15629.0,177774,67586,35049.0,78535,42062,06,089,2011
"Solano County, California",256400,1096,49571.0,416471,181792,56305.0,209088,63795,06,095,2011
"Sonoma County, California",398900,1108,70980.0,488116,232144,58646.0,258583,61020,06,097,2011
"Stanislaus County, California",161900,802,36888.0,518522,199401,122212.0,243676,44076,06,099,2011
"Sutter County, California",175900,715,6152.0,94919,36137,13951.0,43651,49533,06,101,2011
"Tulare County, California",152500,641,22490.0,449253,167364,113515.0,199891,41167,06,107,2011
"Ventura County, California",433100,1303,106818.0,831771,390271,92360.0,437222,74623,06,111,2011
"Yolo County, California",290200,900,21456.0,202054,88903,45300.0,101066,49594,06,113,2011
"Yuba County, California",162600,628,3705.0,72578,23558,12905.0,29865,43961,06,115,2011
"Adams County, Colorado",182400,809,40257.0,451443,210698,73941.0,240261,52325,08,001,2011
"Arapahoe County, Colorado",228100,829,96913.0,584948,295550,70175.0,325512,56722,08,005,2011
"Boulder County, Colorado",344600,962,63898.0,299378,158988,40925.0,171759,68637,08,013,2011
"Denver County, Colorado",247800,772,107566.0,619968,319442,111979.0,352972,47371,08,031,2011
"Douglas County, Colorado",323300,1103,70248.0,292167,154442,14605.0,164470,93573,08,035,2011
"El Paso County, Colorado",213800,770,85930.0,636963,277275,80722.0,312115,54797,08,041,2011
"Jefferson County, Colorado",255700,824,96714.0,539884,280739,46822.0,305043,64292,08,059,2011
"Larimer County, Colorado",241500,861,53697.0,305525,155732,42457.0,171837,55219,08,069,2011
"Mesa County, Colorado",202200,711,17083.0,147083,68024,16209.0,74762,47664,08,077,2011
"Pueblo County, Colorado",136500,565,16503.0,160545,66376,28920.0,75706,40965,08,101,2011
"Weld County, Colorado",197400,703,26488.0,258638,118638,37086.0,127804,51059,08,123,2011
"Fairfield County, Connecticut",440700,1064,161991.0,925899,448190,85822.0,500288,77289,09,001,2011
"Hartford County, Connecticut",240500,808,119015.0,894705,430873,110274.0,485634,60965,09,003,2011
"Litchfield County, Connecticut",265500,775,28308.0,188789,97079,15099.0,106392,69097,09,005,2011
"Middlesex County, Connecticut",308400,934,26005.0,166043,86543,10645.0,92872,77193,09,007,2011
"New Haven County, Connecticut",254200,845,101810.0,861113,414335,109947.0,470617,59245,09,009,2011
"New London County, Connecticut",252600,823,33918.0,273502,129268,22977.0,141849,64788,09,011,2011
"Tolland County, Connecticut",247600,859,18764.0,152507,77907,11988.0,85270,78210,09,013,2011
"Windham County, Connecticut",204200,707,10292.0,118151,58299,11104.0,66564,55744,09,015,2011
"Kent County, Delaware",200200,729,13704.0,164834,71360,23110.0,80621,52512,10,001,2011
"New Castle County, Delaware",244600,819,70096.0,541971,261346,60404.0,285756,63716,10,003,2011
