County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),State FIPS,County FIPS,Year
"Stafford County, Virginia",289700,1168,18369.0,132133,63029,8243.0,66929,91348,51,179,2011
"York County, Virginia",319200,1274,10167.0,66134,29542,2988.0,30997,84167,51,199,2011
"Alexandria city, Virginia",477100,1342,32883.0,144301,87396,9787.0,93334,82748,51,510,2011
"Chesapeake city, Virginia",257200,962,24248.0,225050,103197,18921.0,113751,66563,51,550,2011
"Hampton city, Virginia",199000,784,11740.0,136401,60167,20572.0,66714,49848,51,650,2011
"Lynchburg city, Virginia",147600,570,9471.0,76503,33497,15006.0,37761,36627,51,680,2011
"Newport News city, Virginia",204200,774,16938.0,179611,81879,25405.0,92569,48976,51,700,2011
"Norfolk city, Virginia",195300,776,21980.0,242628,103274,41345.0,118666,43108,51,710,2011
"Portsmouth city, Virginia",175400,756,7853.0,95684,40938,15900.0,45633,42647,51,740,2011
"Richmond city, Virginia",193300,696,28100.0,205533,96341,52459.0,110251,38926,51,760,2011
"Roanoke city, Virginia",125500,511,9037.0,96714,43928,18231.0,48856,39040,51,770,2011
"Suffolk city, Virginia",247200,767,10051.0,84930,39483,9486.0,43181,64334,51,800,2011
"Virginia Beach city, Virginia",264300,1021,62333.0,442707,213433,37168.0,227902,64614,51,810,2011
"Benton County, Washington",182200,696,21802.0,180678,77956,18780.0,84438,61690,53,005,2011
"Chelan County, Washington",259200,648,7709.0,73477,33590,10848.0,36534,50986,53,007,2011
"Clallam County, Washington",219100,622,8051.0,71838,27584,7918.0,30535,50161,53,009,2011
"Clark County, Washington",225700,804,49194.0,433418,190351,58533.0,215495,56656,53,011,2011
"Cowlitz County, Washington",174600,564,6737.0,102478,37615,20848.0,43386,42031,53,015,2011
"Franklin County, Washington",164900,602,4826.0,83455,33105,24557.0,36108,49176,53,021,2011
"Grant County, Washington",162000,559,5925.0,91265,38058,18952.0,44143,43076,53,025,2011
"Grays Harbor County, Washington",149500,543,4311.0,72546,27098,14926.0,32754,40993,53,027,2011
"Island County, Washington",301600,933,10823.0,78971,31704,7325.0,35245,59467,53,029,2011
"King County, Washington",364300,948,389116.0,1969722,1017856,232883.0,1113099,68775,53,033,2011
"Kitsap County, Washington",269500,864,31953.0,254633,104343,26025.0,115524,60314,53,035,2011
"Lewis County, Washington",180600,623,4533.0,75901,28968,9410.0,34827,41931,53,041,2011
"Pierce County, Washington",234500,842,77969.0,807904,347680,97043.0,400614,55214,53,053,2011
"Skagit County, Washington",255300,794,13493.0,118109,50139,17561.0,56941,52519,53,057,2011
"Snohomish County, Washington",280800,890,94405.0,722400,343861,77954.0,385905,63685,53,061,2011
"Spokane County, Washington",185600,630,60035.0,473761,208860,68467.0,236025,49078,53,063,2011
"Thurston County, Washington",244200,846,39231.0,256591,118078,33018.0,128723,60061,53,067,2011
"Whatcom County, Washington",270900,776,28845.0,203663,96822,31062.0,105812,51500,53,073,2011
"Yakima County, Washington",157300,591,16468.0,247141,98149,55337.0,108792,42173,53,077,2011
"Berkeley County, West Virginia",164100,661,7893.0,105750,47615,17131.0,54157,50526,54,003,2011
"Cabell County, West Virginia",116700,478,10227.0,96653,39362,21015.0,42931,37279,54,011,2011
"Harrison County, West Virginia",87200,421,6095.0,69436,29412,11651.0,31930,38795,54,033,2011
"Kanawha County, West Virginia",98500,520,20028.0,192315,85629,32585.0,94246,39928,54,039,2011
"Monongalia County, West Virginia",171700,609,13515.0,98528,43937,17904.0,47424,44049,54,061,2011
"Raleigh County, West Virginia",95500,427,6492.0,79127,30687,11564.0,32286,38304,54,081,2011
"Wood County, West Virginia",107900,444,6660.0,87120,35823,15299.0,40514,36954,54,107,2011
"Brown County, Wisconsin",155900,576,30034.0,251412,128469,26341.0,139157,52406,55,009,2011
"Dane County, Wisconsin",226900,784,84902.0,495959,277543,63323.0,295005,60345,55,025,2011
"Dodge County, Wisconsin",158100,610,6373.0,88661,43330,9311.0,47233,51948,55,027,2011
"Eau Claire County, Wisconsin",148000,581,11652.0,99879,52590,13850.0,56547,48167,55,035,2011
"Fond du Lac County, Wisconsin",149400,547,9833.0,102079,53575,9538.0,57456,53202,55,039,2011
"Jefferson County, Wisconsin",173200,625,7219.0,83943,44739,8500.0,47353,53217,55,055,2011
"Kenosha County, Wisconsin",167000,707,18471.0,167293,76622,24416.0,88219,51337,55,059,2011
"La Crosse County, Wisconsin",152000,589,14785.0,115572,61623,17220.0,65974,49966,55,063,2011
"Manitowoc County, Wisconsin",126000,488,7644.0,80976,41850,5491.0,44448,48272,55,071,2011
"Marathon County, Wisconsin",139500,559,14295.0,134400,67607,14807.0,73603,51678,55,073,2011
"Milwaukee County, Wisconsin",159800,643,112106.0,952532,428728,200885.0,490146,40702,55,079,2011
"Outagamie County, Wisconsin",155100,578,20410.0,177913,94191,13508.0,99053,56445,55,087,2011
"Ozaukee County, Wisconsin",253700,673,17373.0,86568,43952,3473.0,47256,73703,55,089,2011
"Portage County, Wisconsin",140000,568,8356.0,70084,35645,10771.0,39289,49680,55,097,2011
"Racine County, Wisconsin",171000,616,19656.0,195388,92160,24044.0,101378,52582,55,101,2011
"Rock County, Wisconsin",133300,593,12850.0,160092,74618,23381.0,83430,47559,55,105,2011
"St. Croix County, Wisconsin",191800,688,11866.0,84922,43479,8603.0,46360,61811,55,109,2011
"Sheboygan County, Wisconsin",158500,519,12885.0,115149,58072,8097.0,62591,50935,55,117,2011
"Walworth County, Wisconsin",194800,711,10777.0,102931,50396,13829.0,55516,52250,55,127,2011
"Washington County, Wisconsin",221100,653,17544.0,132386,71772,7361.0,76369,67232,55,131,2011
"Waukesha County, Wisconsin",247100,806,74790.0,390730,202226,20894.0,215857,72562,55,133,2011
"Winnebago County, Wisconsin",140100,555,21055.0,167699,82477,21213.0,87275,47763,55,139,2011
"Wood County, Wisconsin",113600,440,5293.0,74785,35972,9543.0,38840,45891,55,141,2011
"Laramie County, Wyoming",171800,679,11585.0,92680,45739,8232.0,47668,54053,56,021,2011
"Natrona County, Wyoming",165700,671,7920.0,76366,39410,8394.0,42449,52603,56,025,2011
"Arecibo Municipio, Puerto Rico",106600,357,10682.0,95816,25278,44952.0,28690,16763,72,013,2011
"Caguas Municipio, Puerto Rico",136900,417,18244.0,142678,47164,56094.0,58545,20925,72,025,2011
"Carolina Municipio, Puerto Rico",155700,522,24996.0,175129,65419,58148.0,78397,25331,72,031,2011
"Guaynabo Municipio, Puerto Rico",196700,498,19368.0,97280,39154,24571.0,46009,36121,72,061,2011
"Ponce Municipio, Puerto Rico",107900,268,17788.0,163727,46749,83938.0,63064,16524,72,113,2011
"San Juan Municipio, Puerto Rico",164800,390,54976.0,389714,141760,156275.0,170442,21450,72,127,2011
"Toa Alta Municipio, Puerto Rico",156600,418,8109.0,75105,27723,24003.0,32980,28154,72,135,2011
"Toa Baja Municipio, Puerto Rico",132600,414,8946.0,88799,29621,37129.0,36082,21368,72,137,2011
"Trujillo Alto Municipio, Puerto Rico",163900,376,12382.0,74490,28758,22475.0,30966,31150,72,139,2011
"Bayamón Municipio, Puerto Rico",144000,506,27633.0,205693,67714,73390.0,83542,22890,72,021,2011
"Mayagüez Municipio, Puerto Rico",100400,329,7298.0,87712,20225,46650.0,25961,14076,72,097,2011
"St. Clair County, Alabama",137000,553,6190.0,85237,36724,13880.0,40807,51859,01,115,2012
"Baldwin County, Alabama",165700,710,25534.0,190790,84236,26448.0,92356,48378,01,003,2012
"Houston County, Alabama",123800,502,10242.0,103402,44081,19607.0,47693,40409,01,069,2012
"Tuscaloosa County, Alabama",156800,541,21501.0,198596,87256,36962.0,94274,41139,01,125,2012
"Montgomery County, Alabama",119900,588,28362.0,230149,96705,47624.0,107000,41807,01,101,2012
"Lee County, Alabama",155400,631,15561.0,147257,68181,34970.0,73175,45043,01,081,2012
"Jefferson County, Alabama",142000,590,80568.0,660009,287272,120297.0,316571,43959,01,073,2012
"Lauderdale County, Alabama",131400,397,7675.0,92542,38144,19884.0,42741,41908,01,077,2012
"Limestone County, Alabama",137700,445,8940.0,87654,38587,8683.0,42193,47999,01,083,2012
"Shelby County, Alabama",184800,750,35177.0,200941,100509,16943.0,106533,65728,01,117,2012
"Cullman County, Alabama",109200,385,3941.0,80440,35376,15607.0,38252,37287,01,043,2012
"Elmore County, Alabama",128200,525,7267.0,80629,37572,9922.0,40048,53328,01,051,2012
"Talladega County, Alabama",86800,362,3618.0,81762,31058,19123.0,35989,31547,01,121,2012
"Morgan County, Alabama",122300,430,11752.0,120395,51393,19358.0,59396,45051,01,103,2012
"Etowah County, Alabama",90500,398,7513.0,104392,38842,21819.0,44011,34264,01,055,2012
"DeKalb County, Alabama",102400,363,2389.0,71080,27049,9334.0,29447,38445,01,049,2012
"Mobile County, Alabama",125500,567,37800.0,413936,164770,84891.0,186627,39691,01,097,2012
"Walker County, Alabama",81800,391,2473.0,66221,24692,14185.0,28060,35330,01,127,2012
"Calhoun County, Alabama",105800,452,8382.0,117296,46165,25270.0,54556,39169,01,015,2012
"Marshall County, Alabama",113000,410,6168.0,94776,37428,21653.0,41435,36197,01,095,2012
"Madison County, Alabama",164600,586,60230.0,343080,162239,41369.0,177942,56839,01,089,2012
"Anchorage Municipality, Alaska",281800,1073,38742.0,298610,153778,24481.0,164459,72575,02,020,2012
"Fairbanks North Star Borough, Alaska",214500,1077,9671.0,100272,46381,6646.0,49945,66539,02,090,2012
"Matanuska-Susitna Borough, Alaska",223900,931,9019.0,93925,40435,8872.0,45135,67486,02,170,2012
"Pima County, Arizona",153500,657,118763.0,992394,417745,193466.0,466154,44762,04,019,2012
"Maricopa County, Arizona",161600,783,489625.0,3942169,1770029,678741.0,1936598,51432,04,013,2012
"Mohave County, Arizona",118400,653,10695.0,203334,63230,40839.0,74705,34445,04,015,2012
"Coconino County, Arizona",214300,834,13202.0,136011,65614,33191.0,71445,45640,04,005,2012
"Yavapai County, Arizona",177900,690,28263.0,212637,81859,30085.0,91867,44035,04,025,2012
"Pinal County, Arizona",110100,752,32175.0,387365,138459,62581.0,158113,50515,04,021,2012
"Cochise County, Arizona",140700,605,12978.0,132088,43846,22503.0,49007,43252,04,003,2012
"Apache County, Arizona",86200,323,2981.0,73195,19489,23811.0,23596,33867,04,001,2012
"Yuma County, Arizona",109200,714,11800.0,200022,68254,41313.0,79830,39485,04,027,2012
"Navajo County, Arizona",98300,507,5335.0,107094,31836,32067.0,40556,34298,04,017,2012
"Saline County, Arkansas",137200,600,13086.0,111845,53771,8672.0,56579,58009,05,125,2012
"Faulkner County, Arkansas",147400,547,14435.0,118704,59178,16240.0,63538,49752,05,045,2012
"Jefferson County, Arkansas",85500,464,6252.0,74723,28372,15794.0,31254,36275,05,069,2012
"Sebastian County, Arkansas",110700,472,10543.0,127304,55849,25848.0,59004,37330,05,131,2012
"Benton County, Arkansas",143400,590,29947.0,232268,106382,32501.0,111643,52294,05,007,2012
"Washington County, Arkansas",141200,552,21179.0,211411,98467,40158.0,106817,41225,05,143,2012
"Craighead County, Arkansas",123500,556,9302.0,99735,47478,16270.0,50585,44111,05,031,2012
"Lonoke County, Arkansas",124300,498,6894.0,69839,31007,7652.0,34056,51098,05,085,2012
"White County, Arkansas",109000,458,4968.0,78493,32461,15673.0,34557,38853,05,145,2012
"Garland County, Arkansas",144300,561,10498.0,96903,40597,18951.0,44933,40893,05,051,2012
"Pulaski County, Arkansas",137900,567,54672.0,388953,173848,71526.0,190738,44437,05,119,2012
"Merced County, California",138100,711,12949.0,262305,96057,62448.0,116054,43597,06,047,2012
"Yuba County, California",175800,760,4252.0,72926,24826,17005.0,30121,43545,06,115,2012
"Contra Costa County, California",381300,1230,180147.0,1079597,498496,119608.0,547833,74177,06,013,2012
"Stanislaus County, California",159800,806,34008.0,521726,202047,104559.0,244052,46405,06,099,2012
"Sonoma County, California",380100,1145,68437.0,491829,233307,58686.0,257663,59941,06,097,2012
"Sacramento County, California",213500,869,176769.0,1450121,615013,280771.0,716545,52667,06,067,2012
"El Dorado County, California",335700,945,26626.0,180561,82213,15326.0,93088,69973,06,017,2012
"Monterey County, California",318200,1094,40545.0,426762,181521,74981.0,199947,58109,06,053,2012
"Butte County, California",203100,783,22877.0,221539,86165,47693.0,101414,40960,06,007,2012
"San Luis Obispo County, California",410900,1087,39260.0,274804,127708,35434.0,137140,60264,06,079,2012
"Kern County, California",150200,723,50490.0,856158,320071,196625.0,372267,45910,06,029,2012
"Ventura County, California",413100,1356,111149.0,835981,392045,94910.0,436111,71517,06,111,2012
"San Mateo County, California",701900,1500,136959.0,739311,379197,61741.0,411225,81609,06,081,2012
"Orange County, California",492200,1391,488226.0,3090132,1478669,395380.0,1625295,71983,06,059,2012
"Sutter County, California",166500,744,8163.0,95022,37387,19255.0,42905,47081,06,101,2012
"San Joaquin County, California",190600,845,55397.0,702612,269943,126610.0,321248,50722,06,077,2012
"San Diego County, California",386400,1195,446573.0,3177063,1412983,465295.0,1563286,60330,06,073,2012
"Tulare County, California",155100,689,25197.0,451977,170308,135194.0,197039,40302,06,107,2012
"Yolo County, California",280800,934,23920.0,204118,91843,35278.0,103028,50594,06,113,2012
"Humboldt County, California",280400,738,16112.0,134827,58865,29814.0,65365,40682,06,023,2012
"Nevada County, California",324600,1048,16662.0,98292,42329,11259.0,47053,53768,06,057,2012
"Madera County, California",168800,780,9194.0,152218,52981,33936.0,58763,42039,06,039,2012
"Mendocino County, California",297200,740,8227.0,87428,36728,19154.0,41453,41369,06,045,2012
"Santa Cruz County, California",545700,1378,39704.0,266776,134312,34204.0,146087,67769,06,087,2012
"Los Angeles County, California",399500,1088,1291751.0,9962789,4506700,1870813.0,5095987,53001,06,037,2012
"Riverside County, California",220000,985,186335.0,2268783,882903,398102.0,1035138,52621,06,065,2012
"San Bernardino County, California",206100,936,153666.0,2081313,799895,415149.0,926533,50770,06,071,2012
"Santa Clara County, California",634600,1480,323641.0,1837504,883722,195518.0,967882,91425,06,085,2012
"Marin County, California",752900,1500,58722.0,256069,128037,19686.0,137733,90535,06,041,2012
"Placer County, California",319300,1093,58417.0,361682,157891,34701.0,177251,69086,06,061,2012
"Shasta County, California",202500,754,15043.0,178586,69984,29131.0,79336,45442,06,089,2012
"Solano County, California",234900,1115,46308.0,420757,180896,59515.0,209448,62066,06,095,2012
"Lake County, California",149300,644,5253.0,63983,23806,16825.0,29237,33219,06,033,2012
"Santa Barbara County, California",409700,1234,47188.0,431249,191826,67359.0,211320,61890,06,083,2012
"Imperial County, California",133800,595,9998.0,176948,56238,37332.0,69897,40200,06,025,2012
"Alameda County, California",472900,1182,269210.0,1554720,747170,199402.0,831063,70500,06,001,2012
"Napa County, California",396500,1214,20015.0,139045,67279,11996.0,74429,68553,06,055,2012
"San Francisco County, California",727600,1459,212320.0,825863,457285,121792.0,495551,73012,06,075,2012
"Kings County, California",161200,691,8566.0,151364,50815,27819.0,60837,45935,06,031,2012
"Fresno County, California",174200,740,71549.0,947895,359429,264738.0,426411,41627,06,019,2012
"Denver County, Colorado",251200,787,121410.0,634265,334303,119662.0,360409,50488,08,031,2012
"Jefferson County, Colorado",262400,888,101950.0,545358,287067,49104.0,309298,67512,08,059,2012
"Weld County, Colorado",194400,730,30028.0,263691,125741,37734.0,135574,55357,08,123,2012
"Douglas County, Colorado",329200,1125,69910.0,298215,152564,13900.0,161019,95324,08,035,2012
"Boulder County, Colorado",364100,1021,60880.0,305318,164525,42978.0,175880,66989,08,013,2012
"Adams County, Colorado",181700,838,41004.0,459598,221721,67417.0,242321,55863,08,001,2012
"Larimer County, Colorado",243600,871,55953.0,310487,161730,42316.0,175142,55890,08,069,2012
"Pueblo County, Colorado",131300,599,13457.0,160852,65715,31445.0,74009,41262,08,101,2012
"Mesa County, Colorado",197700,666,14998.0,147848,68951,23285.0,75753,45892,08,077,2012
"El Paso County, Colorado",214600,781,90154.0,644964,282900,81030.0,312105,55217,08,041,2012
"Arapahoe County, Colorado",230300,872,100154.0,595546,299664,70792.0,327061,60443,08,005,2012
"Windham County, Connecticut",201500,655,10920.0,117599,57860,14061.0,63541,54098,09,015,2012
"Middlesex County, Connecticut",276800,872,27017.0,165602,88525,9070.0,94749,74484,09,007,2012
"New Haven County, Connecticut",242100,871,102266.0,862813,410919,113308.0,463640,59271,09,009,2012
"Litchfield County, Connecticut",248400,758,24744.0,187530,100105,11916.0,108956,67658,09,005,2012
"Hartford County, Connecticut",236900,795,122560.0,897259,433531,108751.0,483245,63536,09,003,2012
"New London County, Connecticut",248200,846,30914.0,274170,133662,24105.0,146602,66603,09,011,2012
"Tolland County, Connecticut",243000,878,20216.0,151539,79031,9550.0,84673,75238,09,013,2012
"Fairfield County, Connecticut",403400,1100,164803.0,933835,456529,81629.0,504317,79841,09,001,2012
"New Castle County, Delaware",236400,837,77116.0,546076,263777,57411.0,287746,62157,10,003,2012
"Sussex County, Delaware",226100,692,19110.0,203390,91209,30566.0,99445,49471,10,005,2012
"Kent County, Delaware",197500,763,15695.0,167626,72128,19330.0,80940,52894,10,001,2012
"District of Columbia, District of Columbia",460700,1158,100904.0,632323,326957,108732.0,364675,66583,11,001,2012
"Sumter County, Florida",187700,623,13385.0,101620,22750,11538.0,25177,45173,12,119,2012
"Lee County, Florida",137600,749,72449.0,645293,252620,97210.0,288552,46278,12,071,2012
"Marion County, Florida",113200,607,27255.0,335125,115893,59762.0,134064,37098,12,083,2012
"Collier County, Florida",233500,903,46140.0,332427,135719,45297.0,148444,54126,12,021,2012
"Pasco County, Florida",107500,734,49362.0,470391,178121,59449.0,200912,42704,12,101,2012
"Highlands County, Florida",86000,629,7652.0,98128,29031,21347.0,34572,34733,12,055,2012
"Columbia County, Florida",95700,602,3385.0,67966,24093,15404.0,30328,36542,12,023,2012
"Putnam County, Florida",90900,526,4960.0,73263,24667,17876.0,28150,34025,12,107,2012
"Manatee County, Florida",156900,783,40570.0,333895,138278,51002.0,153933,47474,12,081,2012
"Volusia County, Florida",130000,720,49049.0,496950,190262,96125.0,212297,40106,12,127,2012
"Leon County, Florida",180700,719,41309.0,283769,141466,58785.0,159613,46443,12,073,2012
"Brevard County, Florida",126000,734,68612.0,547307,223938,79606.0,258782,46162,12,009,2012
"Lake County, Florida",127700,771,29469.0,303186,113423,47584.0,129874,41083,12,069,2012
"Polk County, Florida",96900,662,54658.0,616158,232760,107634.0,270075,41325,12,105,2012
"Seminole County, Florida",164900,841,64744.0,430838,203853,53160.0,228663,54986,12,117,2012
"Bay County, Florida",156600,730,18619.0,171903,77011,27335.0,86475,46005,12,005,2012
"Osceola County, Florida",113000,800,25171.0,287416,127184,56705.0,144813,42915,12,097,2012
"Orange County, Florida",150200,820,151514.0,1202234,585536,212476.0,659427,45624,12,095,2012
"Alachua County, Florida",166900,703,31998.0,251417,113902,66099.0,123788,41669,12,001,2012
"Charlotte County, Florida",131900,718,18811.0,162449,55033,19977.0,62252,45247,12,015,2012
"Martin County, Florida",177500,796,22557.0,148817,55462,21892.0,64910,44821,12,085,2012
"Sarasota County, Florida",162600,849,56382.0,386147,152311,47125.0,172020,48035,12,115,2012
"Citrus County, Florida",111300,674,11774.0,139360,44227,25691.0,52284,39322,12,017,2012
"Santa Rosa County, Florida",162500,820,20686.0,158512,68791,18279.0,74863,61031,12,113,2012
"Broward County, Florida",165600,1000,242151.0,1815137,870103,271736.0,986752,49793,12,011,2012
"Monroe County, Florida",357200,1176,11179.0,74809,38077,10398.0,41434,53637,12,087,2012
"Escambia County, Florida",117500,691,30438.0,302715,124251,48510.0,139140,45009,12,033,2012
"Hernando County, Florida",101500,684,12358.0,173422,52790,32476.0,65083,36515,12,053,2012
"Hillsborough County, Florida",147500,784,164779.0,1277746,588529,242003.0,658884,46515,12,057,2012
"Okaloosa County, Florida",175400,795,21562.0,190083,85390,25349.0,92323,52787,12,091,2012
"Duval County, Florida",132300,737,108347.0,879602,391869,155778.0,446151,43449,12,031,2012
"Clay County, Florida",145100,788,21387.0,194345,84609,21078.0,95439,54827,12,019,2012
"Nassau County, Florida",182500,810,7156.0,74629,28637,11289.0,32295,53230,12,089,2012
"Pinellas County, Florida",142200,757,128880.0,921319,413218,124761.0,459080,44927,12,103,2012
"St. Lucie County, Florida",116500,760,27927.0,283866,110917,48445.0,129630,41785,12,111,2012
"Indian River County, Florida",139500,659,17187.0,140567,49309,23747.0,59575,40413,12,061,2012
"Palm Beach County, Florida",184400,974,200191.0,1356545,596834,191948.0,667893,51278,12,099,2012
"St. Johns County, Florida",225700,917,40124.0,202188,94695,18775.0,103675,61288,12,109,2012
"Miami-Dade County, Florida",181500,938,313601.0,2591035,1164745,530220.0,1321489,41400,12,086,2012
"Flagler County, Florida",151900,824,12512.0,98359,33820,18105.0,38566,42856,12,035,2012
"Bulloch County, Georgia",132100,542,5752.0,72694,29943,22050.0,33389,35856,13,031,2012
"Clarke County, Georgia",153300,605,12864.0,120266,53699,37221.0,59911,32571,13,059,2012
"Glynn County, Georgia",156700,609,9020.0,81022,36464,15148.0,40828,44708,13,127,2012
"DeKalb County, Georgia",158400,768,107443.0,707089,330499,144538.0,379043,49093,13,089,2012
"Muscogee County, Georgia",128000,591,18290.0,198413,77882,33588.0,86826,45178,13,215,2012
"Catoosa County, Georgia",119300,496,3815.0,65046,27910,8743.0,32653,42251,13,047,2012
"Columbia County, Georgia",169000,863,18866.0,131627,58021,15768.0,63569,68118,13,073,2012
"Floyd County, Georgia",111000,503,6257.0,96177,37858,22067.0,43929,37841,13,115,2012
"Forsyth County, Georgia",249400,936,38869.0,187928,86906,11223.0,93420,85494,13,117,2012
"Lowndes County, Georgia",143300,618,9242.0,114552,46535,27240.0,54650,37165,13,185,2012
"Carroll County, Georgia",97800,611,6384.0,111580,47945,22224.0,54713,43134,13,045,2012
"Coweta County, Georgia",172500,729,13826.0,130929,59680,17331.0,66665,61414,13,077,2012
"Dougherty County, Georgia",103600,470,7437.0,94501,33850,31347.0,43168,30532,13,095,2012
"Henry County, Georgia",132100,844,22385.0,209053,92052,31233.0,104813,55695,13,151,2012
"Houston County, Georgia",137300,706,13371.0,146136,64257,26938.0,73035,54457,13,153,2012
"Walker County, Georgia",98800,441,4165.0,68094,25669,13603.0,28569,35824,13,295,2012
"Gwinnett County, Georgia",159600,803,120485.0,842046,390995,124208.0,431790,56423,13,135,2012
"Bartow County, Georgia",107200,653,6872.0,100661,42872,16389.0,48788,46187,13,015,2012
"Douglas County, Georgia",118000,697,14015.0,133971,60086,20539.0,67109,49981,13,097,2012
"Cobb County, Georgia",185700,805,138875.0,707442,357723,94896.0,394617,63069,13,067,2012
"Fayette County, Georgia",217700,903,21037.0,107524,50953,8651.0,55639,77670,13,113,2012
"Newton County, Georgia",111600,694,7336.0,101505,42198,14778.0,48361,48974,13,217,2012
"Clayton County, Georgia",83600,665,18002.0,265888,108093,76896.0,130166,36804,13,063,2012
"Hall County, Georgia",152400,658,15039.0,185416,79301,37000.0,87440,49737,13,139,2012
"Troup County, Georgia",114100,480,5939.0,68468,27903,14940.0,32520,36739,13,285,2012
"Bibb County, Georgia",117100,535,14573.0,156462,62631,40729.0,70564,36120,13,021,2012
"Liberty County, Georgia",114000,785,3683.0,65471,23713,10929.0,27698,42990,13,179,2012
"Rockdale County, Georgia",127200,675,8617.0,85820,35098,15407.0,40975,50200,13,247,2012
"Paulding County, Georgia",123300,761,13166.0,144800,64021,20706.0,72612,57332,13,223,2012
"Richmond County, Georgia",105900,582,16949.0,202587,78720,51371.0,87378,37154,13,245,2012
"Barrow County, Georgia",113600,632,5326.0,70169,30944,11292.0,34930,47582,13,013,2012
"Whitfield County, Georgia",109600,507,5043.0,103359,42940,21560.0,50339,34972,13,313,2012
"Chatham County, Georgia",176700,735,35212.0,276434,122556,52499.0,135836,42390,13,051,2012
"Walton County, Georgia",151400,580,7586.0,84575,35962,11860.0,39517,48703,13,297,2012
"Cherokee County, Georgia",194000,788,35534.0,221315,106147,22644.0,114928,66993,13,057,2012
"Fulton County, Georgia",229900,782,196316.0,977773,459077,173943.0,521384,55369,13,121,2012
"Honolulu County, Hawaii",563600,1334,140266.0,976372,453583,97754.0,485526,71404,15,003,2012
"Maui County, Hawaii",478900,1147,17448.0,158226,79258,16165.0,86269,61207,15,009,2012
"Hawaii County, Hawaii",297900,851,21599.0,189191,82919,35853.0,90749,50285,15,001,2012
"Kauai County, Hawaii",447000,1051,7273.0,68434,32660,7449.0,35274,59238,15,007,2012
"Canyon County, Idaho",113100,574,16017.0,193888,82694,42335.0,91363,41555,16,027,2012
"Kootenai County, Idaho",177500,692,15335.0,142357,63036,16630.0,70324,46870,16,055,2012
"Twin Falls County, Idaho",139500,570,6078.0,78595,35135,14583.0,36934,40745,16,083,2012
"Ada County, Idaho",168500,692,60836.0,409061,196487,48257.0,211772,53909,16,001,2012
"Bannock County, Idaho",148000,500,9784.0,83800,38552,12511.0,41704,42832,16,005,2012
"Bonneville County, Idaho",151900,546,11173.0,106684,47277,14559.0,50749,49450,16,019,2012
"Peoria County, Illinois",129000,544,20521.0,187254,86360,37104.0,94003,46450,17,143,2012
"Madison County, Illinois",127700,560,29988.0,267883,125746,33890.0,138221,51688,17,119,2012
"Sangamon County, Illinois",126600,556,29554.0,199271,97234,28083.0,105722,55498,17,167,2012
"McLean County, Illinois",155300,648,32451.0,172281,90881,25664.0,96727,62117,17,113,2012
"Rock Island County, Illinois",115800,558,13240.0,147457,67405,19584.0,73644,50320,17,161,2012
"Kane County, Illinois",204700,844,66882.0,522487,248321,62207.0,274944,64638,17,089,2012
"DeKalb County, Illinois",161900,705,10330.0,104704,50123,18745.0,56798,45901,17,037,2012
"Will County, Illinois",203200,841,92500.0,682518,326869,56033.0,358669,72180,17,197,2012
"Tazewell County, Illinois",137100,527,16834.0,135949,67337,10351.0,70563,61339,17,179,2012
"Winnebago County, Illinois",118700,582,26987.0,292069,130031,46199.0,148464,49144,17,201,2012
"Adams County, Illinois",112500,471,6631.0,67197,32632,7292.0,35215,46378,17,001,2012
"Vermilion County, Illinois",79400,452,5189.0,80727,32046,14165.0,36977,40311,17,183,2012
"Williamson County, Illinois",99700,445,6263.0,66674,28777,8362.0,31906,40658,17,199,2012
"Lake County, Illinois",237400,871,116553.0,702120,336123,63298.0,368313,74334,17,097,2012
"Kankakee County, Illinois",148800,631,7702.0,113040,50848,19501.0,56371,51703,17,091,2012
"DuPage County, Illinois",274200,987,180127.0,927987,475271,65626.0,518892,78268,17,043,2012
"LaSalle County, Illinois",120900,499,8040.0,112973,52031,16373.0,58432,49183,17,099,2012
"Cook County, Illinois",209300,835,737469.0,5231351,2433663,923158.0,2767520,52174,17,031,2012
"Macon County, Illinois",91100,504,10853.0,110122,49267,24953.0,56707,44533,17,115,2012
"McHenry County, Illinois",203100,867,45670.0,308145,154098,24232.0,170911,76683,17,111,2012
"St. Clair County, Illinois",119300,602,28560.0,268858,116038,52310.0,128262,46505,17,163,2012
"Champaign County, Illinois",145400,646,26075.0,203276,103196,39785.0,110486,46375,17,019,2012
"Madison County, Indiana",88500,514,9670.0,130348,53473,18763.0,61205,42933,18,095,2012
"Delaware County, Indiana",86200,517,7503.0,117364,49291,24147.0,56664,37032,18,035,2012
"Morgan County, Indiana",142800,592,5203.0,69356,32690,9297.0,35605,50519,18,109,2012
"St. Joseph County, Indiana",116500,576,29213.0,266344,121226,41642.0,134347,45225,18,141,2012
"Kosciusko County, Indiana",128000,530,6175.0,77609,37028,8230.0,40418,49301,18,085,2012
"Vanderburgh County, Indiana",111000,528,18813.0,180858,88460,24975.0,94851,41445,18,163,2012
"Monroe County, Indiana",156800,680,15803.0,141019,67466,31904.0,73951,38435,18,105,2012
"Marion County, Indiana",117900,620,112793.0,918977,432096,194163.0,485705,41409,18,097,2012
