County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),Owner Occupied Housing Units,Total Households,State FIPS,County FIPS,Year
"Houston County, Georgia",125500,583,13140.0,143925,64187,19857.0,71933,51021,16794,52603,13,153,2011
"Liberty County, Georgia",139900,728,5096.0,65451,24613,10228.0,27356,45485,11455,24578,13,179,2011
"Lowndes County, Georgia",135000,556,7747.0,111885,42684,29127.0,51714,32898,17829,38178,13,185,2011
"Muscogee County, Georgia",131200,569,18375.0,194107,73211,34324.0,83693,37333,33946,70724,13,215,2011
"Newton County, Georgia",125100,626,8583.0,100814,40445,21156.0,47997,40932,8637,33298,13,217,2011
"Paulding County, Georgia",130000,720,12354.0,143542,67456,22216.0,77568,57764,10968,48994,13,223,2011
"Richmond County, Georgia",106100,595,16016.0,201217,77473,44661.0,89542,38928,32630,71262,13,245,2011
"Rockdale County, Georgia",143200,738,8546.0,85765,37334,11470.0,43013,51067,8214,28789,13,247,2011
"Troup County, Georgia",107900,497,5021.0,67764,27492,14638.0,32198,40368,9757,24744,13,285,2011
"Walker County, Georgia",105400,416,4516.0,68848,28365,11165.0,32547,38187,7877,27224,13,295,2011
"Walton County, Georgia",155500,608,6969.0,84580,36274,12680.0,39919,50129,6390,28979,13,297,2011
"Whitfield County, Georgia",121400,504,4041.0,103184,44342,17131.0,50080,36928,12680,34637,13,313,2011
"Hawaii County, Hawaii",290400,778,18571.0,186738,77284,39531.0,87015,46479,22143,64605,15,001,2011
"Honolulu County, Hawaii",544300,1276,132553.0,963607,441624,94429.0,474102,66146,139583,308495,15,003,2011
"Kauai County, Hawaii",479700,1135,9467.0,67701,32398,8263.0,34924,60751,9315,22874,15,007,2011
"Maui County, Hawaii",527900,1092,19631.0,156693,78152,19059.0,85693,60147,22782,52549,15,009,2011
"Ada County, Idaho",173400,684,64559.0,400842,184335,52033.0,205684,49643,50503,151755,16,001,2011
"Bannock County, Idaho",143000,488,8644.0,83691,37384,15012.0,40367,41097,10581,30177,16,005,2011
"Bonneville County, Idaho",150400,531,12749.0,105772,47835,13338.0,51319,47828,10582,36538,16,019,2011
"Canyon County, Idaho",105800,547,13751.0,191694,72782,38376.0,84906,38470,18681,63358,16,027,2011
"Kootenai County, Idaho",184800,647,15616.0,141132,62750,22991.0,70675,47782,16438,56226,16,055,2011
"Twin Falls County, Idaho",158200,558,5621.0,78005,32999,13416.0,36652,42015,11023,28196,16,083,2011
"Adams County, Illinois",98700,400,5538.0,67159,32898,11227.0,35300,42635,6908,25964,17,001,2011
"Champaign County, Illinois",149600,661,23632.0,201685,94385,46133.0,104234,39591,36877,78993,17,019,2011
"Cook County, Illinois",224900,818,728638.0,5217080,2376858,905232.0,2729052,50813,811719,1916910,17,031,2011
"DeKalb County, Illinois",168400,672,10694.0,104743,51475,18074.0,58981,51327,13999,36774,17,037,2011
"DuPage County, Illinois",277700,935,173134.0,923222,470237,70073.0,518050,74072,86363,335379,17,043,2011
"Kane County, Illinois",219200,844,66427.0,520271,247595,67635.0,274169,66497,45758,168340,17,089,2011
"Kankakee County, Illinois",138200,639,7659.0,113698,47874,18166.0,54710,45669,12075,41149,17,091,2011
"Kendall County, Illinois",206800,1037,17354.0,116631,56286,6358.0,61195,80655,3450,37049,17,093,2011
"Lake County, Illinois",254200,894,112946.0,706222,329906,78190.0,368493,74266,55836,240051,17,097,2011
"LaSalle County, Illinois",123400,504,8761.0,113518,54017,11327.0,59839,48935,11010,43854,17,099,2011
"McHenry County, Illinois",215700,886,41967.0,308944,149908,28226.0,170420,70117,16917,108186,17,111,2011
"McLean County, Illinois",157500,580,29749.0,170556,87100,25689.0,94415,57799,21281,63240,17,113,2011
"Macon County, Illinois",94700,512,11372.0,110730,48521,14815.0,53982,44415,14287,43604,17,115,2011
"Madison County, Illinois",123500,567,27677.0,268459,121028,37251.0,134730,50372,29522,106535,17,119,2011
"Peoria County, Illinois",120900,532,21932.0,186834,83361,33908.0,93991,48988,26653,75933,17,143,2011
"Rock Island County, Illinois",112700,540,15478.0,147556,68307,19491.0,73849,43597,18019,61259,17,161,2011
"St. Clair County, Illinois",131700,536,29418.0,270259,119308,51593.0,130783,50318,31507,101789,17,163,2011
"Sangamon County, Illinois",128700,554,25648.0,198844,94398,33653.0,103650,51075,24605,82704,17,167,2011
"Tazewell County, Illinois",128700,515,14458.0,135661,64496,16300.0,69065,49237,13199,54647,17,179,2011
"Vermilion County, Illinois",76900,431,5229.0,81509,31848,15564.0,35947,40869,9374,31414,17,183,2011
"Will County, Illinois",216600,797,89070.0,681545,318489,55089.0,354659,71882,39027,220536,17,197,2011
"Williamson County, Illinois",96800,505,5057.0,66622,29373,9598.0,31502,40439,7626,26648,17,199,2011
"Winnebago County, Illinois",124700,597,25389.0,293993,129910,56767.0,149272,43603,36553,112221,17,201,2011
"Allen County, Indiana",111700,527,40199.0,358327,161978,60999.0,179198,47426,41993,136723,18,003,2011
"Bartholomew County, Indiana",139100,599,9853.0,77870,36678,10350.0,39238,54197,8172,29086,18,005,2011
"Clark County, Indiana",132100,541,9291.0,111570,54096,14584.0,58922,52464,12619,42156,18,019,2011
"Delaware County, Indiana",90700,539,8425.0,117660,47880,25141.0,54927,36811,16054,45477,18,035,2011
"Elkhart County, Indiana",122000,579,16124.0,198941,86551,40256.0,97431,43317,18945,70795,18,039,2011
"Floyd County, Indiana",148900,533,6807.0,74989,36536,9332.0,39573,50940,8241,28934,18,043,2011
"Grant County, Indiana",82500,433,5011.0,69793,28006,10217.0,31679,38187,8761,27758,18,053,2011
"Hamilton County, Indiana",210000,755,67123.0,282810,144554,10312.0,153534,80999,20261,103706,18,057,2011
"Hancock County, Indiana",148500,628,8795.0,70529,33753,6732.0,36016,57062,4952,26130,18,059,2011
"Hendricks County, Indiana",160100,703,22908.0,147979,69499,6247.0,74245,61687,9419,52921,18,063,2011
"Howard County, Indiana",97300,472,6424.0,82800,35349,15018.0,40338,37589,10654,34259,18,067,2011
"Johnson County, Indiana",146700,667,17583.0,141656,68316,12047.0,74361,62274,13142,51512,18,081,2011
"Kosciusko County, Indiana",127500,521,6469.0,77336,37568,7922.0,41789,50803,6276,28664,18,085,2011
"Lake County, Indiana",135200,626,45608.0,495558,209739,93340.0,237660,48533,55612,181198,18,089,2011
"LaPorte County, Indiana",119300,557,7126.0,111374,46419,18511.0,52494,48389,11401,42075,18,091,2011
"Madison County, Indiana",93800,491,11245.0,131235,51907,24264.0,59997,42129,14670,49713,18,095,2011
"Marion County, Indiana",116200,606,101153.0,911296,416899,188102.0,473778,39631,159656,358552,18,097,2011
