County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),Owner Occupied Housing Units,Total Households,State FIPS,County FIPS,Year
"Cleveland County, North Carolina",103800,482,6814.0,97489,40137,18276.0,46478,35753,12427,36513,37,045,2011
"Craven County, North Carolina",150700,650,10528.0,104786,40285,14575.0,47422,51298,13691,38592,37,049,2011
"Cumberland County, North Carolina",134400,640,27103.0,324885,117105,58583.0,137915,43577,53842,119402,37,051,2011
"Davidson County, North Carolina",130100,437,14651.0,162697,73196,21546.0,83781,40281,17716,65227,37,057,2011
"Durham County, North Carolina",181100,675,40769.0,273392,134776,53525.0,145147,46231,51295,110908,37,063,2011
"Forsyth County, North Carolina",151800,544,47867.0,354952,158454,65038.0,178683,42911,48633,138511,37,067,2011
"Gaston County, North Carolina",130700,524,17972.0,207031,91620,32459.0,106800,40674,25205,79593,37,071,2011
"Guilford County, North Carolina",157700,586,72862.0,495279,228348,90081.0,259080,43419,73983,197636,37,081,2011
"Harnett County, North Carolina",124700,534,8895.0,119256,46632,20695.0,53763,39513,14956,41582,37,085,2011
"Henderson County, North Carolina",185900,548,12973.0,107927,44244,12478.0,48937,46789,11583,43481,37,089,2011
"Iredell County, North Carolina",171100,554,19271.0,161202,69049,22212.0,79242,50241,14879,59952,37,097,2011
"Johnston County, North Carolina",148600,565,17030.0,172595,78205,26005.0,89121,46915,18086,59933,37,101,2011
"Lincoln County, North Carolina",160200,498,9022.0,78932,36569,11280.0,41676,52147,6338,28730,37,109,2011
"Mecklenburg County, North Carolina",177300,725,175099.0,944373,466896,159187.0,523336,51935,146158,362341,37,119,2011
"Moore County, North Carolina",180000,539,10597.0,89352,34111,14132.0,37572,45158,8617,35673,37,125,2011
"Nash County, North Carolina",123900,506,9150.0,96116,40190,19127.0,48534,44261,13147,36805,37,127,2011
"New Hanover County, North Carolina",224100,732,34641.0,206189,93281,35048.0,106562,45719,38805,87323,37,129,2011
"Onslow County, North Carolina",153100,775,11880.0,179719,62233,24930.0,68766,45573,23437,59806,37,133,2011
"Orange County, North Carolina",262600,724,18789.0,135755,67301,22953.0,71666,56482,19795,51108,37,135,2011
"Pitt County, North Carolina",147700,497,22083.0,171134,76673,42115.0,87085,39047,28754,63322,37,147,2011
"Randolph County, North Carolina",123700,476,10640.0,142358,61393,22259.0,70274,40301,13328,55291,37,151,2011
"Robeson County, North Carolina",70700,391,8308.0,135517,47584,39880.0,55217,30806,15545,44026,37,155,2011
"Rockingham County, North Carolina",103300,446,6731.0,93329,36985,13927.0,42876,35816,10919,38184,37,157,2011
"Rowan County, North Carolina",130300,518,11947.0,138019,54761,25611.0,62564,40008,16706,52767,37,159,2011
"Rutherford County, North Carolina",120800,395,4829.0,67538,25163,12909.0,29865,35786,7661,26944,37,161,2011
"Surry County, North Carolina",102000,410,5009.0,73714,31434,16915.0,34769,32310,8815,30856,37,171,2011
"Union County, North Carolina",185900,584,28925.0,205463,90520,20171.0,102285,61048,11740,65961,37,179,2011
"Wake County, North Carolina",225700,720,181863.0,929780,461383,104937.0,501321,62141,113524,342995,37,183,2011
"Wayne County, North Carolina",97000,463,8055.0,123697,51286,28102.0,58649,39085,18838,48584,37,191,2011
"Wilkes County, North Carolina",112000,429,3765.0,68984,25327,19228.0,29964,30181,7574,27853,37,193,2011
"Wilson County, North Carolina",115200,476,6563.0,81452,34321,20790.0,40535,36508,12202,30750,37,195,2011
"Burleigh County, North Dakota",162500,596,12557.0,83145,47495,7761.0,48751,57460,9970,34483,38,015,2011
"Cass County, North Dakota",155900,593,23759.0,152368,92409,19971.0,96176,51442,30291,65891,38,017,2011
"Grand Forks County, North Dakota",148900,591,8156.0,66598,36005,9291.0,37752,43917,13216,27255,38,035,2011
"Allen County, Ohio",100200,448,6739.0,106094,45864,19781.0,52928,41307,11989,40269,39,003,2011
"Ashtabula County, Ohio",110400,464,6816.0,101345,40389,20630.0,46059,38204,11334,39383,39,007,2011
"Belmont County, Ohio",87300,385,3592.0,70151,29035,9231.0,32851,40981,7166,28113,39,013,2011
"Butler County, Ohio",156400,601,40228.0,369999,172519,49753.0,191551,53138,38177,134773,39,017,2011
"Clark County, Ohio",110300,495,11446.0,137691,56205,26172.0,64239,41292,17469,54573,39,023,2011
"Clermont County, Ohio",150500,633,22712.0,199139,96837,21092.0,103544,55934,19462,74952,39,025,2011
"Columbiana County, Ohio",95800,434,6650.0,107570,43504,17393.0,49204,43975,11951,42430,39,029,2011
"Cuyahoga County, Ohio",123300,587,152742.0,1270294,562209,230992.0,639958,41530,214783,533756,39,035,2011
"Delaware County, Ohio",246700,696,37131.0,178341,91760,5676.0,95871,85365,13106,65179,39,041,2011
"Erie County, Ohio",137300,541,7009.0,76751,34552,8665.0,38221,46949,9990,31148,39,043,2011
"Fairfield County, Ohio",166900,582,15233.0,147066,69091,16933.0,75975,59607,15754,55064,39,045,2011
"Franklin County, Ohio",150400,634,170732.0,1178799,578063,216624.0,637117,47029,214630,465653,39,049,2011
"Geauga County, Ohio",211400,607,12623.0,93228,47199,7592.0,49333,63855,5063,34808,39,055,2011
"Greene County, Ohio",158900,632,19048.0,162846,71280,26539.0,78995,56194,21098,63516,39,057,2011
"Hamilton County, Ohio",142300,555,109105.0,800362,370091,143924.0,419663,45940,123973,315453,39,061,2011
"Hancock County, Ohio",121800,476,5779.0,75056,35954,11338.0,40849,46742,8653,29732,39,063,2011
"Jefferson County, Ohio",87500,383,4214.0,68828,29217,10472.0,31673,42075,7152,27216,39,081,2011
"Lake County, Ohio",147100,643,28698.0,229885,115957,23029.0,127240,52690,24242,93514,39,085,2011
"Licking County, Ohio",149900,539,17542.0,167248,80308,21827.0,86277,54887,17133,64659,39,089,2011
"Lorain County, Ohio",140300,580,27295.0,301614,135648,44980.0,151368,48280,34644,117308,39,093,2011
"Lucas County, Ohio",107500,514,36988.0,440005,186814,100839.0,218728,38421,71195,177472,39,095,2011
"Mahoning County, Ohio",96000,478,22251.0,237270,102647,39729.0,116084,39356,30657,98065,39,099,2011
"Marion County, Ohio",100600,490,3032.0,66212,24577,11446.0,28443,41133,8969,24654,39,101,2011
"Medina County, Ohio",173800,648,22890.0,173262,86136,17447.0,93005,59572,13245,65393,39,103,2011
"Miami County, Ohio",139400,539,7774.0,102857,47796,16170.0,52606,46759,12710,41299,39,109,2011
"Montgomery County, Ohio",114000,531,53246.0,537602,231811,95714.0,259978,40602,85893,223673,39,113,2011
"Muskingum County, Ohio",112200,462,4698.0,86237,36641,15670.0,41171,38259,10707,34639,39,119,2011
"Portage County, Ohio",155200,599,14744.0,161624,79805,25888.0,88842,49554,18700,59787,39,133,2011
"Richland County, Ohio",104700,462,8811.0,123510,51867,19831.0,57336,40117,15253,48616,39,139,2011
"Ross County, Ohio",114300,448,5154.0,78249,30040,13857.0,35425,43464,7511,28547,39,141,2011
"Scioto County, Ohio",84800,351,3760.0,79277,27600,20317.0,31115,29657,9580,28818,39,145,2011
"Stark County, Ohio",123600,502,37159.0,375087,169273,59874.0,190250,41827,45173,148640,39,151,2011
"Summit County, Ohio",134200,584,65860.0,539832,250046,87783.0,281207,46429,69890,214909,39,153,2011
"Trumbull County, Ohio",95300,452,17125.0,209264,87431,33643.0,95501,40867,25417,86844,39,155,2011
"Tuscarawas County, Ohio",106200,455,6508.0,92508,42806,13068.0,47595,42082,10481,37151,39,157,2011
"Warren County, Ohio",184500,707,33565.0,214910,101875,14804.0,110985,69201,16811,76918,39,165,2011
"Wayne County, Ohio",137800,498,9370.0,114611,53289,15378.0,57644,46827,10908,42635,39,169,2011
"Wood County, Ohio",151500,573,14324.0,126355,62654,18565.0,68514,49792,15707,48953,39,173,2011
"Canadian County, Oklahoma",139400,613,14827.0,119492,59041,8274.0,63253,59329,10312,44115,40,017,2011
"Cleveland County, Oklahoma",141300,624,32469.0,261281,130802,34219.0,137381,51606,28775,94961,40,027,2011
"Comanche County, Oklahoma",113800,612,11542.0,125815,50691,19688.0,54682,44585,19450,44879,40,031,2011
"Creek County, Oklahoma",112300,433,5247.0,70467,27434,12100.0,30397,39030,6565,25413,40,037,2011
"Muskogee County, Oklahoma",84100,424,5606.0,71003,25189,17199.0,28375,34440,8713,26980,40,101,2011
"Oklahoma County, Oklahoma",127700,551,91362.0,732371,339736,139974.0,366776,42893,116477,283195,40,109,2011
"Payne County, Oklahoma",127800,546,8812.0,77988,38422,17408.0,41006,35181,14743,30929,40,119,2011
"Pottawatomie County, Oklahoma",98800,464,5881.0,70280,29255,12077.0,31363,42272,6762,25663,40,125,2011
"Rogers County, Oklahoma",143200,537,10219.0,87706,40214,8084.0,42704,54591,6680,33505,40,131,2011
"Tulsa County, Oklahoma",133300,575,81408.0,610599,295202,91019.0,317302,46466,91779,240278,40,143,2011
"Wagoner County, Oklahoma",140200,523,10013.0,74098,31994,10474.0,33856,49605,5038,26547,40,145,2011
"Benton County, Oregon",266700,685,13847.0,85928,37360,20590.0,41751,42513,14502,33088,41,003,2011
"Clackamas County, Oregon",294800,809,53639.0,380207,170639,41405.0,193747,58055,47614,145971,41,005,2011
"Deschutes County, Oregon",216200,768,22704.0,160338,69912,21068.0,82232,46984,23798,64678,41,017,2011
"Douglas County, Oregon",180100,575,7805.0,107490,40282,18109.0,45898,38502,13475,43401,41,019,2011
"Jackson County, Oregon",234200,740,21736.0,204822,82653,40832.0,98354,39138,35513,84413,41,029,2011
"Josephine County, Oregon",209800,666,7134.0,82987,26913,16390.0,32070,37048,11996,34502,41,033,2011
"Klamath County, Oregon",165900,530,7168.0,65552,24144,15754.0,29993,36464,8609,26507,41,035,2011
"Lane County, Oregon",212900,697,39419.0,353416,149693,74062.0,172926,40584,63416,145781,41,039,2011
"Linn County, Oregon",169900,610,9508.0,118122,47055,24276.0,53301,42565,16533,45399,41,043,2011
"Marion County, Oregon",188900,653,27927.0,318872,126655,64685.0,147409,44051,45859,110822,41,047,2011
"Multnomah County, Oregon",257400,766,123250.0,748031,375736,144211.0,419536,46888,147151,308131,41,051,2011
"Polk County, Oregon",224200,653,7330.0,75993,31265,10185.0,34569,53252,10941,28494,41,053,2011
"Umatilla County, Oregon",148300,531,5287.0,76725,33536,12489.0,36663,43502,9643,26648,41,059,2011
"Washington County, Oregon",275800,818,90924.0,540410,266036,69607.0,292354,62488,77146,202152,41,067,2011
"Yamhill County, Oregon",207300,737,8243.0,100000,45864,12725.0,51736,53612,9845,32678,41,071,2011
"Adams County, Pennsylvania",195200,628,8451.0,101434,50123,7848.0,53583,54906,9126,38006,42,001,2011
"Allegheny County, Pennsylvania",123400,585,175197.0,1227066,591757,162026.0,647425,49759,183499,518366,42,003,2011
"Armstrong County, Pennsylvania",92800,442,4897.0,68568,29784,8547.0,33156,42530,6607,28320,42,005,2011
"Beaver County, Pennsylvania",114900,468,17388.0,170414,77708,20474.0,83922,48901,19455,70059,42,007,2011
"Berks County, Pennsylvania",168300,641,41917.0,412778,191904,55040.0,213671,52307,43252,155425,42,011,2011
"Blair County, Pennsylvania",105700,485,10976.0,127099,56760,17727.0,61867,43136,12980,50849,42,013,2011
"Bucks County, Pennsylvania",308900,978,94130.0,626854,317089,39882.0,343889,70617,54630,232208,42,017,2011
"Butler County, Pennsylvania",171500,558,27821.0,184848,90174,15368.0,97267,54627,17093,73286,42,019,2011
"Cambria County, Pennsylvania",88100,401,11841.0,143728,58718,18927.0,63780,40253,15107,57348,42,021,2011
"Carbon County, Pennsylvania",156400,513,5217.0,65154,26261,7187.0,29819,44139,5820,25087,42,025,2011
"Centre County, Pennsylvania",187800,751,17970.0,154722,76277,28604.0,80822,46988,23983,58695,42,027,2011
"Chester County, Pennsylvania",321500,962,93321.0,503897,249182,35186.0,267772,79160,49300,184245,42,029,2011
"Clearfield County, Pennsylvania",89900,417,5665.0,81445,35062,10697.0,38124,42780,7027,32709,42,033,2011
"Columbia County, Pennsylvania",151000,509,5038.0,67476,30233,10395.0,32569,39730,7424,25631,42,037,2011
"Crawford County, Pennsylvania",103700,422,7579.0,88740,37722,12003.0,40959,41199,9074,34898,42,039,2011
"Cumberland County, Pennsylvania",183900,695,32761.0,237892,119927,16924.0,128087,58824,27696,94545,42,041,2011
"Dauphin County, Pennsylvania",159100,674,31221.0,268977,131086,33813.0,144831,51871,39055,107704,42,043,2011
"Delaware County, Pennsylvania",234200,799,75489.0,559494,261887,53500.0,288631,60102,60506,204553,42,045,2011
"Erie County, Pennsylvania",114600,511,27954.0,280985,129759,44205.0,144500,41975,36851,109138,42,049,2011
"Fayette County, Pennsylvania",83500,426,9211.0,136097,52944,26266.0,59536,37052,16129,54708,42,051,2011
"Franklin County, Pennsylvania",172500,590,12043.0,150811,68991,15305.0,75026,49068,15218,56999,42,055,2011
"Indiana County, Pennsylvania",114300,517,8284.0,89298,38407,15380.0,42611,42498,10582,34709,42,063,2011
"Lackawanna County, Pennsylvania",145000,526,24299.0,214166,99922,27765.0,106486,44284,28443,86343,42,069,2011
"Lancaster County, Pennsylvania",184200,672,50038.0,523594,254643,55452.0,275338,53387,57963,193231,42,071,2011
"Lawrence County, Pennsylvania",96600,423,8624.0,90535,39753,14450.0,42835,41606,8926,36278,42,073,2011
"Lebanon County, Pennsylvania",162200,585,10697.0,134311,63871,14533.0,69870,55019,13628,51744,42,075,2011
"Lehigh County, Pennsylvania",194900,754,37399.0,352947,162467,50782.0,182633,50978,43869,133097,42,077,2011
"Luzerne County, Pennsylvania",118800,504,30038.0,320651,147567,47721.0,160437,42847,43795,130170,42,079,2011
"Lycoming County, Pennsylvania",135200,531,9739.0,116747,53953,15533.0,59111,42391,14659,46506,42,081,2011
"Mercer County, Pennsylvania",99900,451,11070.0,116205,49300,14228.0,53953,41648,12063,46623,42,085,2011
"Monroe County, Pennsylvania",191800,695,14762.0,169882,72208,24589.0,86881,51875,11512,57527,42,089,2011
"Montgomery County, Pennsylvania",292300,959,143907.0,804210,408764,50612.0,441948,76220,84051,306463,42,091,2011
"Northampton County, Pennsylvania",215300,726,34233.0,298476,142398,28555.0,154361,57950,29228,111907,42,095,2011
"Northumberland County, Pennsylvania",89200,424,6989.0,94558,40857,10478.0,44763,39822,11234,39378,42,097,2011
"Philadelphia County, Pennsylvania",142000,691,137486.0,1536471,596025,423305.0,715498,34207,265126,576429,42,101,2011
"Schuylkill County, Pennsylvania",93400,459,11091.0,147513,63517,16119.0,69756,47437,14005,60018,42,107,2011
"Somerset County, Pennsylvania",96700,341,5005.0,77405,33204,9522.0,35641,38658,5839,28898,42,111,2011
"Washington County, Pennsylvania",147800,469,25016.0,208282,99344,21187.0,107600,52783,19467,83097,42,125,2011
"Westmoreland County, Pennsylvania",138000,490,44949.0,364471,170817,37369.0,182976,46474,38989,152569,42,129,2011
"York County, Pennsylvania",173200,628,42789.0,436770,211687,47513.0,234420,55551,43199,167625,42,133,2011
"Kent County, Rhode Island",220400,857,20788.0,165535,84872,15232.0,93835,60416,20305,67705,44,003,2011
"Newport County, Rhode Island",361200,952,13734.0,82695,40057,7922.0,43988,69119,12395,33705,44,005,2011
"Providence County, Rhode Island",222200,727,68860.0,626709,294758,110483.0,333211,46875,112565,240912,44,007,2011
"Washington County, Rhode Island",305300,918,22503.0,126563,67075,11057.0,71551,69528,12018,50296,44,009,2011
"Aiken County, South Carolina",125300,468,17226.0,160682,67021,33669.0,72461,41522,17617,63586,45,003,2011
"Anderson County, South Carolina",128900,486,16307.0,188488,78108,27496.0,88064,40943,20665,72551,45,007,2011
"Beaufort County, South Carolina",299700,847,22744.0,164684,65223,17624.0,72847,55439,19513,62612,45,013,2011
"Berkeley County, South Carolina",140700,766,15782.0,183525,76262,28131.0,88343,49553,19983,67838,45,015,2011
"Charleston County, South Carolina",227800,733,56392.0,357704,167021,66388.0,185266,50510,53303,141214,45,019,2011
"Darlington County, South Carolina",97000,461,5449.0,68299,26721,15223.0,30859,39125,7853,26382,45,031,2011
"Dorchester County, South Carolina",176100,728,14962.0,140892,59935,17631.0,68822,50266,13906,49402,45,035,2011
"Florence County, South Carolina",112400,455,10937.0,137862,56951,28163.0,66726,40232,15979,50857,45,041,2011
"Greenville County, South Carolina",148600,585,59932.0,461299,208256,71063.0,231745,48586,57876,176771,45,045,2011
"Greenwood County, South Carolina",103800,467,7326.0,69835,27817,13934.0,32019,35678,9286,27319,45,047,2011
"Horry County, South Carolina",162500,662,34753.0,276340,124578,51565.0,138433,38775,33191,109447,45,051,2011
"Lancaster County, South Carolina",141200,461,6915.0,77908,32414,14627.0,36468,40232,8005,29930,45,057,2011
"Laurens County, South Carolina",74400,379,5367.0,66528,25164,15810.0,29625,35178,6678,22593,45,059,2011
"Lexington County, South Carolina",132800,633,29334.0,267129,126472,39039.0,139037,50661,28376,105785,45,063,2011
"Oconee County, South Carolina",135000,448,7036.0,74418,27079,15822.0,30889,41153,7260,29728,45,073,2011
"Orangeburg County, South Carolina",77400,433,7185.0,91910,33991,19703.0,40150,31031,10466,33275,45,075,2011
"Pickens County, South Carolina",130200,486,9825.0,119574,49316,22720.0,56404,39348,12643,42258,45,077,2011
"Richland County, South Carolina",149400,662,49372.0,389116,171723,66282.0,196005,44969,55768,141993,45,079,2011
"Spartanburg County, South Carolina",123800,516,23503.0,286868,124567,54461.0,140995,40167,32748,105420,45,083,2011
"Sumter County, South Carolina",101400,520,8016.0,107460,40153,14894.0,46265,42009,14741,41041,45,085,2011
"York County, South Carolina",155000,583,31426.0,230528,104616,36214.0,119099,49406,23461,88624,45,091,2011
"Minnehaha County, South Dakota",149000,597,23271.0,171752,94665,17937.0,100203,51365,23903,67163,46,099,2011
"Pennington County, South Dakota",152300,643,12220.0,102815,48455,11747.0,52618,48981,12977,39684,46,103,2011
"Anderson County, Tennessee",130600,487,5621.0,75233,31983,11786.0,35169,40756,9025,31256,47,001,2011
"Blount County, Tennessee",164800,543,11376.0,123901,53745,17575.0,59237,45858,13288,48905,47,009,2011
"Bradley County, Tennessee",149000,480,8386.0,100055,41638,22190.0,49299,37149,13144,36744,47,011,2011
"Davidson County, Tennessee",163800,659,95287.0,635475,319198,117861.0,351149,43556,117308,254655,47,037,2011
"Greene County, Tennessee",108600,392,4886.0,69339,28395,18033.0,31078,31873,8170,28914,47,059,2011
"Hamilton County, Tennessee",154900,557,39691.0,340855,153844,64545.0,173462,41769,47316,133444,47,065,2011
"Knox County, Tennessee",153500,592,58909.0,436929,214561,60573.0,230818,44580,65260,180706,47,093,2011
"Madison County, Tennessee",110600,455,9467.0,98255,39988,18505.0,45874,38743,11368,34199,47,113,2011
"Maury County, Tennessee",142400,522,7663.0,81509,38057,14166.0,41712,40518,9071,31325,47,119,2011
"Montgomery County, Tennessee",141500,661,16867.0,176619,67738,28883.0,77393,47154,26713,64000,47,125,2011
"Putnam County, Tennessee",134300,436,6483.0,72958,29383,17526.0,32472,32874,10631,29055,47,141,2011
"Robertson County, Tennessee",162300,545,5314.0,67106,31218,11737.0,34673,47785,6238,24771,47,147,2011
"Rutherford County, Tennessee",158400,655,35257.0,268921,131062,29484.0,143840,52249,28566,94768,47,149,2011
"Sevier County, Tennessee",167300,581,4568.0,91466,42515,13551.0,47881,42066,12379,35873,47,155,2011
"Shelby County, Tennessee",131700,615,115346.0,935088,413294,194349.0,471150,44391,145069,342041,47,157,2011
"Sullivan County, Tennessee",127200,449,17207.0,157419,66037,27935.0,73020,39541,18120,67075,47,163,2011
"Sumner County, Tennessee",171200,613,15760.0,163686,77405,13910.0,84123,52115,19277,61478,47,165,2011
"Washington County, Tennessee",154600,505,14960.0,124353,55026,22419.0,58738,41564,17856,53237,47,179,2011
"Williamson County, Tennessee",318800,868,40153.0,188560,89614,11222.0,94926,86962,12515,66274,47,187,2011
"Wilson County, Tennessee",178800,670,14867.0,116617,56250,14975.0,61223,59987,10078,43566,47,189,2011
"Angelina County, Texas",87100,551,5163.0,87669,36541,15468.0,41265,39007,10365,30706,48,005,2011
"Bastrop County, Texas",115600,685,5296.0,75115,33140,8537.0,38301,55599,5502,27748,48,021,2011
"Bell County, Texas",123000,662,25619.0,315196,121336,48578.0,139402,45309,46928,101634,48,027,2011
"Bexar County, Texas",122300,674,190025.0,1756153,765807,307499.0,839955,46704,248718,608722,48,029,2011
"Bowie County, Texas",101300,491,8769.0,92793,35836,15681.0,40066,45035,9790,32028,48,037,2011
"Brazoria County, Texas",147100,625,34205.0,319973,148851,37230.0,157844,61924,27697,108627,48,039,2011
"Brazos County, Texas",155000,671,17319.0,197632,92906,56486.0,103152,33817,37504,68707,48,041,2011
"Cameron County, Texas",79300,493,25488.0,414123,142311,139716.0,158690,32070,38190,118782,48,061,2011
"Collin County, Texas",204000,822,172401.0,812226,412510,71056.0,439537,82237,93119,290609,48,085,2011
"Comal County, Texas",203400,760,18121.0,111963,49344,7355.0,53278,59234,11245,41647,48,091,2011
"Coryell County, Texas",96000,687,4311.0,76508,18433,7904.0,21344,49808,7388,17817,48,099,2011
"Dallas County, Texas",125000,698,277530.0,2416014,1124391,479686.0,1240217,47326,405602,852266,48,113,2011
"Denton County, Texas",180800,729,123622.0,686406,361706,65643.0,390555,69644,87303,241661,48,121,2011
"Ector County, Texas",90400,581,7945.0,140111,65412,19365.0,68193,49967,16962,49905,48,135,2011
"Ellis County, Texas",141600,666,11632.0,152753,72187,19628.0,78899,61570,12759,49819,48,139,2011
"El Paso County, Texas",114700,595,66577.0,820790,316920,198659.0,346361,39573,101484,257285,48,141,2011
"Fort Bend County, Texas",180000,855,102905.0,606953,293682,52080.0,308838,82271,40654,194513,48,157,2011
"Galveston County, Texas",149900,688,38566.0,295747,133262,43426.0,148280,59020,34865,108966,48,167,2011
"Grayson County, Texas",105800,581,11627.0,121419,53806,19912.0,58557,44574,15989,46447,48,181,2011
"Gregg County, Texas",121400,607,11353.0,123081,57024,21032.0,60818,42572,17500,45443,48,183,2011
"Guadalupe County, Texas",154800,545,15064.0,135757,65554,12685.0,68897,57326,9961,49217,48,187,2011
"Harris County, Texas",129200,687,476478.0,4180894,1940954,811474.0,2137088,50928,625560,1417603,48,201,2011
"Harrison County, Texas",123500,404,7175.0,66296,29605,8691.0,31040,44334,6164,24238,48,203,2011
"Hays County, Texas",162300,754,23074.0,164050,79961,25791.0,85962,55160,19893,56754,48,209,2011
"Henderson County, Texas",83700,482,5695.0,78826,30690,10395.0,33518,38278,7498,29567,48,213,2011
"Hidalgo County, Texas",77600,470,49736.0,797810,287973,298455.0,324354,31077,67797,215877,48,215,2011
"Hunt County, Texas",89800,564,6006.0,86531,36164,12860.0,41620,50272,8197,30913,48,231,2011
"Jefferson County, Texas",99400,590,20376.0,252802,102771,46444.0,115385,41256,33855,92904,48,245,2011
"Johnson County, Texas",112300,551,12049.0,152734,66148,19266.0,73268,54664,13690,52562,48,251,2011
"Kaufman County, Texas",124000,637,8105.0,105358,47355,12575.0,53257,61537,7685,36007,48,257,2011
"Liberty County, Texas",90900,495,2652.0,76206,28003,13037.0,33492,45371,5036,24215,48,291,2011
"Lubbock County, Texas",109800,599,30886.0,283910,141506,55975.0,152584,43716,44050,104390,48,303,2011
"McLennan County, Texas",111700,561,21395.0,238564,105349,56210.0,113775,40484,33776,84117,48,309,2011
"Midland County, Texas",141600,734,14869.0,140308,69293,16330.0,72545,54330,16956,50842,48,329,2011
"Montgomery County, Texas",170600,764,61709.0,471734,216203,68708.0,234531,60952,50155,165692,48,339,2011
"Nacogdoches County, Texas",99300,525,5261.0,65466,26188,14717.0,28561,39110,11090,23198,48,347,2011
"Nueces County, Texas",109700,635,29608.0,343281,153975,66885.0,167608,44083,53350,122780,48,355,2011
"Orange County, Texas",87300,569,4674.0,82487,33617,12801.0,36944,42398,6948,30786,48,361,2011
"Parker County, Texas",148300,649,13086.0,118376,53759,11453.0,57216,69706,9355,43364,48,367,2011
"Potter County, Texas",87400,571,7741.0,122285,52098,25623.0,55811,35956,17248,42442,48,375,2011
"Randall County, Texas",141800,580,16734.0,123351,63320,11844.0,66766,57183,15146,48977,48,381,2011
"San Patricio County, Texas",96200,620,4369.0,64726,26194,12958.0,28268,50168,7518,21525,48,409,2011
"Smith County, Texas",120000,634,21515.0,213381,91617,36299.0,101001,43814,25683,80332,48,423,2011
"Tarrant County, Texas",133700,679,235364.0,1849815,870110,312294.0,958449,52789,246658,653266,48,439,2011
"Taylor County, Texas",85300,528,13234.0,132755,56401,21121.0,60477,40123,17381,48414,48,441,2011
"Tom Green County, Texas",97600,567,11083.0,111823,50000,18661.0,53810,43107,15569,41711,48,451,2011
"Travis County, Texas",217900,769,191672.0,1063130,552691,192436.0,602029,53036,205422,410683,48,453,2011
"Victoria County, Texas",110300,594,5921.0,87545,38569,16815.0,42423,45465,10569,32489,48,469,2011
"Walker County, Texas",104500,590,5119.0,68087,24756,12558.0,26385,38869,7982,20400,48,471,2011
"Webb County, Texas",104900,563,14070.0,256496,96979,82780.0,101852,36132,25749,67463,48,479,2011
"Wichita County, Texas",87600,527,10916.0,130698,53547,16717.0,57836,43292,15352,45805,48,485,2011
"Williamson County, Texas",176500,823,76780.0,442782,212381,30959.0,230703,67246,52067,156738,48,491,2011
"Cache County, Utah",183900,503,15292.0,114699,53249,19515.0,57699,46174,12392,35306,49,005,2011
"Davis County, Utah",217300,718,39891.0,311811,140761,24650.0,149450,69021,20873,95981,49,011,2011
"Salt Lake County, Utah",225800,763,130677.0,1048985,509256,148657.0,552440,56171,118489,346530,49,035,2011
"Utah County, Utah",214800,728,62552.0,530499,223553,73203.0,241267,58607,48579,143178,49,049,2011
"Washington County, Utah",215400,761,15189.0,141666,52457,21827.0,60217,45854,14061,46216,49,053,2011
"Weber County, Utah",168900,672,21962.0,234420,104502,30170.0,114014,51798,22845,79548,49,057,2011
"Chittenden County, Vermont",267900,912,30787.0,157491,86767,16132.0,92089,61879,21506,62328,50,007,2011
"Albemarle County, Virginia",320500,911,17193.0,100553,44673,9782.0,46988,63001,13137,37395,51,003,2011
"Arlington County, Virginia",578100,1621,54902.0,216004,138965,16358.0,143820,100735,49387,91386,51,013,2011
"Augusta County, Virginia",199500,603,7539.0,74897,35273,7112.0,36846,47326,5094,28445,51,015,2011
"Bedford County, Virginia",202800,622,8239.0,69246,33043,5934.0,35661,59980,3761,25858,51,019,2011
"Chesterfield County, Virginia",225600,901,48950.0,320277,158827,21114.0,171014,71110,24607,110729,51,041,2011
"Fairfax County, Virginia",480300,1459,230092.0,1100692,581976,73794.0,615391,105797,125616,391386,51,059,2011
"Fauquier County, Virginia",342100,1030,9374.0,66320,33860,2403.0,36476,93762,4330,22895,51,061,2011
"Frederick County, Virginia",218700,873,10511.0,79666,37900,6842.0,40699,69155,5676,28572,51,069,2011
"Hanover County, Virginia",246200,875,15667.0,100342,49568,5746.0,52972,67505,6938,36328,51,085,2011
"Henrico County, Virginia",218400,795,52251.0,310445,157313,34757.0,169788,57860,45815,123503,51,087,2011
"James City County, Virginia",339900,1061,11834.0,68200,32097,4642.0,33634,71667,6474,26944,51,095,2011
"Loudoun County, Virginia",426400,1350,69788.0,325405,167926,13931.0,176305,119134,24668,106492,51,107,2011
"Montgomery County, Virginia",223800,705,12568.0,94342,44657,21012.0,47955,43982,16331,33946,51,121,2011
"Prince William County, Virginia",297100,1290,61178.0,419006,212012,28145.0,225509,95146,38313,131840,51,153,2011
"Roanoke County, Virginia",195900,599,13676.0,92740,45708,7943.0,48582,61615,8020,37931,51,161,2011
"Rockingham County, Virginia",193000,573,7516.0,76589,37883,6545.0,39936,51889,5590,28734,51,165,2011
"Spotsylvania County, Virginia",241800,1121,14322.0,124327,60453,6974.0,65341,76475,10475,42896,51,177,2011
"Stafford County, Virginia",289700,1168,18369.0,132133,63029,8243.0,66929,91348,9362,42033,51,179,2011
